Company Name,Sector,Stage,Amount,Location,Funding Year,Founded,Investor
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,2018,,
Wimoxez,Internet,Seed,20000.0,Hyderabad,2018,,
India Accelerator,"Communities, Coworking, Incubators",Angel,,Gurgaon,2018,,
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bangalore,2018,,
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,,Azadpur,2018,,
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bangalore,2018,,
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bengaluru,2018,,
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,,Mumbai,2018,,
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,2018,,
Carmesi,Health Care,Seed,408000.0,Gurgaon,2018,,
OckyPocky,"E-Learning, Internet, Video Games",Angel,,Haryana,2018,,
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,4104000.0,Bangalore,2018,,
WHR,"Health Care, Information Technology",Seed,143145.0,Pune,2018,,
Asteria Aerospace,Aerospace,Seed,,Bangalore,2018,,
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,7200000.0,Noida,2018,,
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,,Cochin,2018,,
SBI Life,Insurance,Private Equity,742000000.0,Mumbai,2018,,
Studds Accessories,E-Commerce,Private Equity,12000000.0,Faridabad,2018,,
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,24000000.0,Bengaluru,2018,,
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,New Delhi,2018,,
Rays Power Infra,"Energy, Solar",Venture - Series Unknown,24000000.0,Jaipur,2018,,
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,Gurgaon,2018,,
Khidki,"Artificial Intelligence, Social",Seed,,Bangalore,2018,,
LetsTransport,"Logistics, Transportation, Travel",Series B,12000000.0,Bangalore,2018,,
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1200.0,Kota,2018,,
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,3000000.0,Bangalore,2018,,
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,24000000.0,Jaipur,2018,,
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Bangalore,2018,,
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,Haryana,2018,,
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,,Anand,2018,,
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,Mumbai,2018,,
Jagaran Microfin,—,Debt Financing,6600000.0,Kolkata,2018,,
Vivriti Capital,Financial Services,Venture - Series Unknown,28500000.0,Chennai,2018,,
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,360000.0,New Delhi,2018,,
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,Mumbai,2018,,
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,2880000.0,Gurgaon,2018,,
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,,Gurgaon,2018,,
Generico,"Health Care, Medical, Pharmaceutical",Series A,,Mumbai,2018,,
Adiuvo Diagnostics,Health Diagnostics,Seed,,Chennai,2018,,
DataTrained,"EdTech, Education",Seed,1440000.0,Bangalore,2018,,
OneAssist,"Financial Services, SaaS, Security",Debt Financing,2400000.0,Mumbai,2018,,
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,New Delhi,2018,,
APAC Financial Services,"Finance, Financial Services",Private Equity,30000000.0,Mumbai,2018,,
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,Noida,2018,,
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,,Mumbai,2018,,
MadGuy Labs,E-Learning,Venture - Series Unknown,150000.0,Hyderabad,2018,,
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,,Pune,2018,,
FLEECA,—,Seed,,Jaipur,2018,,
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,Mumbai,2018,,
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,528000.0,Bangalore City,2018,,
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Bengaluru,2018,,
Ambee,"Health Care, Medical Device, Public Safety",Angel,,Bangalore,2018,,
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,720000.0,Belgaum,2018,,
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,30000000.0,Bengaluru,2018,,
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,,New Delhi,2018,,
Zestl,Software,Seed,,Pune,2018,,
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,Bangalore,2018,,
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,7800000.0,Bangalore,2018,,
Hero Electric,Manufacturing,Venture - Series Unknown,19200000.0,New Delhi,2018,,
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,,Mumbai,2018,,
PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,Bangalore,2018,,
Roposo,"Internet, Social Network, TV",Series C,10000000.0,Gurgaon,2018,,
Plum Goodness,"Beauty, Health Care",Series A,,Thane,2018,,
Drstore,Hospital,Seed,,Mumbai,2018,,
Wow Venue,Events,Venture - Series Unknown,1500000.0,Mumbai,2018,,
Chizel,"3D Printing, Manufacturing, Product Design",Seed,,Pune,2018,,
OTO Capital,Automotive,Seed,600000.0,Mumbai,2018,,
Boodmo,"Automotive, Retail",Seed,840000.0,Gurgaon,2018,,
Khabri,"Apps, Audio",Seed,,Haryana,2018,,
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,1000000.0,Gurgaon,2018,,
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,Bangalore,2018,,
PlanetSpark,"E-Learning, EdTech, Education",Seed,192000.0,Gurgaon,2018,,
WheelsEMI,—,Series B,14000000.0,Pune,2018,,
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,1230000.0,Margão,2018,,
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,Gurgaon,2018,,
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,6600000.0,Bangalore,2018,,
Tabono,Sports,Seed,,Gurgaon,2018,,
LearnApp,"Banking, E-Learning, Trading Platform",Seed,240000.0,Noida,2018,,
Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,2000000.0,Indore,2018,,
Fric Bergen,—,Venture - Series Unknown,,Alwar,2018,,
Articbot,"Artificial Intelligence, Information Technology",Grant,14400.0,Kannur,2018,,
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,3000000.0,Gurgaon,2018,,
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,62400000.0,New Delhi,2018,,
Any time Doctor,Software,Angel,,Chennai,2018,,
Go Payments,"Information Services, Information Technology",Corporate Round,,Mumbai,2018,,
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,800000.0,Mumbai,2018,,
ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,1041000.0,Mumbai,2018,,
UnoTag,Artificial Intelligence,Pre-Seed,100000.0,Bangalore,2018,,
CivilCops,"Government, Information Technology, Software",Pre-Seed,100000.0,Gurgaon,2018,,
Rockmetric,Information Technology,Grant,,Mumbai,2018,,
Classworks India,"Education, Information Technology, Internet, Mobile, Software",,1200.0,Chennai,2018,,
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,,Mumbai,2018,,
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000.0,Bangalore,2018,,
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,Bengaluru,2018,,
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,Bengaluru,2018,,
iChamp,E-Learning,Seed,5000000.0,Gurgaon,2018,,
Qandle,Software,Seed,1200000.0,Gurgaon,2018,,
Avishkaar Box,"Children, Education, Parenting",Seed,600000.0,Delhi,2018,,
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,,Mumbai,2018,,
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,Pune,2018,,
Deftouch,—,Seed,,Bangalore,2018,,
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000.0,Bengaluru,2018,,
DronaHQ,Mobile,Angel,500000.0,Mumbai,2018,,
FastFox,Rental,Series A,1200000.0,Gurgaon,2018,,
BuyForexOnline,Travel,,2000000.0,Bangalore,2018,,
Colive.in,Consumer,Seed,1800000.0,Bangalore,2018,,
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000.0,Thane,2018,,
Corefactors,—,Seed,,Bangalore,2018,,
Fincash.com,Wealth Management,Seed,150000.0,Mumbai,2018,,
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,2018,,
Shirsa Labs,"Education, Gaming, Training",Seed,500000.0,Mumbai,2018,,
PetSutra,Veterinary,Seed,114000.0,Gurgaon,2018,,
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,,Ahmedabad,2018,,
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000.0,Bangalore,2018,,
Eduvanz,"Finance, Financial Services",Angel,500000.0,Mumbai,2018,,
Rupeek,"Financial Services, Lending",Series A,6830000.0,Bangalore,2018,,
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000.0,Pune,2018,,
Shape (School Health and Physical Education),Education,Seed,200000.0,Pune,2018,,
Placio,"Hospitality, Real Estate",Seed,2000000.0,Noida,2018,,
Aviom India Housing Finance,Finance,Series A,1800000.0,New Delhi,2018,,
GenRobotic,Market Research,Seed,,Trivandrum,2018,,
HeyHolidays,"Tourism, Travel",Seed,1000000.0,Bangalore,2018,,
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000.0,Bengaluru,2018,,
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,,Ernakulam,2018,,
Food Memories,"Food and Beverage, Food Processing",Seed,,Ahmedabad,2018,,
ZAMROO,"Internet, Marketplace, Shopping",Seed,,India,2018,,
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000.0,Gurgaon,2018,,
Creator’s Gurukul,Facilities Support Services,Angel,,Gurgaon,2018,,
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846.0,Bengaluru,2018,,
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000.0,Bangalore,2018,,
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000.0,Bangalore,2018,,
6Degree,"Fashion, Lifestyle, Retail",Seed,400000.0,Mumbai,2018,,
Chrysalis (EZ Vidya),Education,Seed,,Chennai,2018,,
Ekincare,Medical,Series A,1500000.0,Hyderabad,2018,,
Streo,Music Streaming,Seed,,Gurgaon,2018,,
Groww,"Finance, Impact Investing, Internet",Seed,120000.0,Kormangala,2018,,
Cell Propulsion,—,Seed,84000.0,Bangalore,2018,,
Chezuba,"Internet, Social Entrepreneurship",Angel,16800.0,Hyderabad,2018,,
Ontrack Technologies Pvt. Ltd,Retail,Seed,,Bangalore,2018,,
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000.0,Mumbai,2018,,
Faclon Labs,"Cloud Computing, Computer, Software",Seed,,Mumbai,2018,,
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,600000.0,Bangalore,2018,,
CollPoll,Education,Seed,,Bangalore,2018,,
Zyla Health,"Health Care, Hospitality",Seed,,New Delhi,2018,,
Hubhopper,"Internet, Social News, Sports",Series A,500000.0,Delhi,2018,,
Rubix108 Technologies,Information Technology,Seed,1000000.0,Pune,2018,,
Workflexi,Human Resources,Seed,120000.0,Bangalore,2018,,
Streak,Financial Services,Seed,270000.0,Bangalore,2018,,
Kuants,Financial Services,Seed,60000.0,Gurgaon,2018,,
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000.0,Bangalore,2018,,
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,,Chennai,2018,,
Satvacart,"E-Commerce, Food Processing",Seed,,Gurgaon,2018,,
Daaki,Health Care,Angel,,Bangalore,2018,,
Simulanis,Training,Seed,500000.0,New Delhi,2018,,
MY CHIRAAG CAB,Travel,Seed,1000000.0,Jaipur,2018,,
WOTU,Food and Beverage,Seed,,Bangalore,2018,,
Flathalt,—,Angel,50000.0,Gurgaon,2018,,
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,600000.0,Pune,2018,,
Trendlyne Technologies,Financial Services,Seed,200000.0,Bangalore,2018,,
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,1682400.0,Chennai,2018,,
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000.0,Bangalore,2018,,
dishq,—,Seed,400000.0,Bengaluru,2018,,
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000.0,Bengaluru,2018,,
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000.0,Delhi,2018,,
Trell,—,Seed,1250000.0,Bangalore City,2018,,
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000.0,Bangalore,2018,,
Log 9 Materials,Nanotechnology,Seed,360000.0,Uttar Pradesh,2018,,
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,230400.0,Gurgaon,2018,,
HousingMan.com,—,Seed,1236000.0,Bengaluru,2018,,
Steradian Semiconductors,—,Seed,,Bangalore,2018,,
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,480000.0,Mumbai,2018,,
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000.0,Jaipur,2018,,
The Ken,Digital Media,Series A,1500000.0,Bengaluru,2018,,
SaffronStays,—,Seed,2000000.0,Mumbai,2018,,
Vebbler,"File Sharing, Personalization, Social Media",Seed,,Bengaluru,2018,,
Foyr,"Home Decor, Interior Design",Series A,4200000.0,Pune,2018,,
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000.0,Jaipur,2018,,
Inner Being Wellness,—,Angel,420000.0,Hyderabad,2018,,
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,,Chennai,2018,,
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,1200000.0,Mumbai,2018,,
McXtra,"Finance, Financial Services, Insurance",Seed,1300000.0,Andheri,2018,,
Magic Crate,"Children, Education, Online Portals",Seed,,Bangalore,2018,,
SmartVizX,"Software, Virtual Reality",Seed,1450000.0,Noida,2018,,
MySEODoc,—,Seed,,Delhi,2018,,
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,2400.0,Pune,2018,,
Scale Labs,—,Seed,1000000.0,Delhi,2018,,
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000.0,Bengaluru,2018,,
